id	en	fr	es	pt	de	ja
landing/alternative-features/support/description	Semper curabitur ullamcorper posuere nunc sed. Ornare iaculis bibendum malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra duis. In venenatis sem arcu pretium pharetra at. Lectus viverra dui tellus ornare pharetra.	Semper Curabitur ullamcorper posuere nunc sed. Ornare iaculis bibendum Malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra duis. Dans venenatis arcu pretium pharetra ETM à. Lectus viverra dui Tellus ornare pharetra.	Semper Curabitur Ullamcorper posuere nunc sed. Ornare iaculis bibendum malesuada faucibus Lacinia porttitor. Pulvinar laoreet sagittis viverra DUIs. En venenatis sem arcu pretium pharetra al. Lectus viverra dúos Tellus ornare pharetra.	Semper Curabitur ullamcorper posuere nunc sed. Ornare iaculis Bibendum malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra DUIs. Em venenatis sem arcu pretium pharetra no. Lectus viverra dui tellus Ornare pharetra.	Semper curabitur ullamcorper posuere nunc sed. Ornare iaculis bibendum malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra duis. In venenatis sem arcu pretium pharetra an. Lectus viverra dui tellus ornare pharetra.	ゼンパーcurabitur ullamcorperお問い合わせ今NUNC SED。 Ornare iaculisビバンダムmalesuada faucibus lacinia porttitor。視床枕laoreet sagittis viverra duis。 SEM ARCU pretium pharetraでvenenatis。 Lectus viverra DUI TELLUS ornare pharetra。
landing/alternative-features/support/title	Stay on top of customer support	Restez au-dessus du support à la clientèle	Mantenerse al tanto de la atención al cliente	Fique em cima de suporte ao cliente	Bleiben Sie auf der Kunden-Support	顧客サポートの上に滞在
landing/alternative-features/testimonials/name	Marcia Hill, Digital Marketing Manager	Marcia Hill, directeur du marketing numérique	Marcia Hill, Gerente de Marketing Digital	Marcia Hill, Gerente de Marketing Digital	Marcia Hill, Digital Marketing Manager	マーシャ・ヒル、デジタルマーケティングマネージャー
landing/alternative-features/testimonials/text	Cras velit quis eros eget rhoncus lacus ultrices sed diam. Sit orci risus aenean curabitur donec aliquet. Mi venenatis in euismod ut.	Cras velit quis eros eget rhoncus lacus ultrices sed diam. Sit Orci risus Aenean Curabitur Donec aliquet. Mi venenatis dans euismod ut.	Cras velita quis eros eget rhoncus lacus ultrices sed diam. Sit Orci RISUS Aenean Curabitur donec aliquet. Mi venenatis en ut euismod.	Cras velit Quis eros eget rhoncus lacus ultrices sed diam. Sit Orci risus aenean Curabitur donec aliquet. Mi venenatis em ut euismod.	Cras velit quis eros eget rhoncus lacus ultrices sed diam. Sit orci risus Aenean curabitur donec aliquet. Mi venenatis in euismod ut.	CRAS velit QUISエロスeget rhoncusラクスultrices SED DIAM。シットorci risus aenean curabitur donec aliquet。 Miがeuismod UTでvenenatis。
landing/alternative-features/understand/description	Semper curabitur ullamcorper posuere nunc sed. Ornare iaculis bibendum malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra duis. In venenatis sem arcu pretium pharetra at. Lectus viverra dui tellus ornare pharetra.	Semper Curabitur ullamcorper posuere nunc sed. Ornare iaculis bibendum Malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra duis. Dans venenatis arcu pretium pharetra ETM à. Lectus viverra dui Tellus ornare pharetra.	Semper Curabitur Ullamcorper posuere nunc sed. Ornare iaculis bibendum malesuada faucibus Lacinia porttitor. Pulvinar laoreet sagittis viverra DUIs. En venenatis sem arcu pretium pharetra al. Lectus viverra dúos Tellus ornare pharetra.	Semper Curabitur ullamcorper posuere nunc sed. Ornare iaculis Bibendum malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra DUIs. Em venenatis sem arcu pretium pharetra no. Lectus viverra dui tellus Ornare pharetra.	Semper curabitur ullamcorper posuere nunc sed. Ornare iaculis bibendum malesuada faucibus lacinia porttitor. Pulvinar laoreet sagittis viverra duis. In venenatis sem arcu pretium pharetra an. Lectus viverra dui tellus ornare pharetra.	ゼンパーcurabitur ullamcorperお問い合わせ今NUNC SED。 Ornare iaculisビバンダムmalesuada faucibus lacinia porttitor。視床枕laoreet sagittis viverra duis。 SEM ARCU pretium pharetraでvenenatis。 Lectus viverra DUI TELLUS ornare pharetra。
landing/alternative-features/understand/title	Better understand your customers	Mieux comprendre vos clients	Entender mejor a sus clientes	Entender melhor seus clientes	Besser zu verstehen, Ihre Kunden	より良いあなたの顧客を理解します
landing/buttons/get-started	Get Started	Commencer	Empezar	Iniciar	Loslegen	はじめよう
landing/buttons/learn-more	Learn More	Apprendre encore plus	Aprende más	Saber mais	Erfahren Sie mehr	もっと詳しく知る
landing/buttons/live-demo	Live demo	démo en direct	Demo en vivo	Demonstração ao vivo	Live-Demo	ライブデモ
landing/buttons/subscribe	Subscribe	S'abonner	Suscribir	Se inscrever	Abonnieren	申し込む
